Weight,5kg_interval,10kg_interval,
30,30-34,<50,*
31,30-34,<50,*
32,30-34,<50,*
33,30-34,<50,*
34,30-34,<50,*
35,35-39,<50,*
36,35-39,<50,*
37,35-39,<50,*
38,35-39,<50,*
39,35-39,<50,*
40,40-44,<50,*
41,40-44,<50,*
42,40-44,<50,*
43,40-44,<50,*
44,40-44,<50,*
45,45-49,<50,*
46,45-49,<50,*
47,45-49,<50,*
48,45-49,<50,*
49,45-49,<50,*
50,50-54,<50,*
51,50-54,50-59,*
52,50-54,50-59,*
53,50-54,50-59,*
54,50-54,50-59,*
55,55-59,50-59,*
56,55-59,50-59,*
57,55-59,50-59,*
58,55-59,50-59,*
59,55-59,50-59,*
60,60-64,60-69,*
61,60-64,60-69,*
62,60-64,60-69,*
63,60-64,60-69,*
64,60-64,60-69,*
65,65-69,60-69,*
66,65-69,60-69,*
67,65-69,60-69,*
68,65-69,60-69,*
69,65-69,60-69,*
70,70-74,70-79,*
71,70-74,70-79,*
72,70-74,70-79,*
73,70-74,70-79,*
74,70-74,70-79,*
75,75-79,70-79,*
76,75-79,70-79,*
77,75-79,70-79,*
78,75-79,70-79,*
79,75-79,70-79,*
80,80-84,80-89,*
81,80-84,80-89,*
82,80-84,80-89,*
83,80-84,80-89,*
84,80-84,80-89,*
85,85-89,80-89,*
86,85-89,80-89,*
87,85-89,80-89,*
88,85-89,80-89,*
89,85-89,80-89,*
90,90-94,90-99,*
91,90-94,90-99,*
92,90-94,90-99,*
93,90-94,90-99,*
94,90-94,90-99,*
95,95-99,90-99,*
96,95-99,90-99,*
97,95-99,90-99,*
98,95-99,90-99,*
99,95-99,90-99,*
100,100-104,100-109,*
101,100-104,100-109,*
102,100-104,100-109,*
103,100-104,100-109,*
104,100-104,100-109,*
105,105-109,100-109,*
106,105-109,100-109,*
107,105-109,100-109,*
108,105-109,100-109,*
109,105-109,100-109,*
110,110-114,110-119,*
111,110-114,110-119,*
112,110-114,110-119,*
113,110-114,110-119,*
114,110-114,110-119,*
115,115-119,110-119,*
116,115-119,110-119,*
117,115-119,110-119,*
118,115-119,110-119,*
119,115-119,110-119,*
120,120-124,120-129,*
121,120-124,120-129,*
122,120-124,120-129,*
123,120-124,120-129,*
124,120-124,120-129,*
125,125-129,120-129,*
126,125-129,120-129,*
127,125-129,120-129,*
128,125-129,120-129,*
129,125-129,120-129,*
130,130-134,>130,*
131,130-134,>130,*
132,130-134,>130,*
133,130-134,>130,*
134,130-134,>130,*
135,135-139,>130,*
136,135-139,>130,*
137,135-139,>130,*
138,135-139,>130,*
139,135-139,>130,*
140,140-144,>130,*
141,140-144,>130,*
142,140-144,>130,*
143,140-144,>130,*
144,140-144,>130,*
145,145-149,>130,*
146,145-149,>130,*
147,145-149,>130,*
148,145-149,>130,*
149,145-149,>130,*
150,150-154,>130,*
151,150-154,>131,*
152,150-154,>132,*
153,150-154,>133,*
154,150-154,>134,*
155,155-159,>135,*
156,155-159,>136,*
157,155-159,>137,*
158,155-159,>138,*
159,155-159,>139,*
160,160-164,>140,*
161,160-164,>141,*
162,160-164,>142,*
163,160-164,>143,*
164,160-164,>144,*
165,165-169,>145,*
166,165-169,>146,*
167,165-169,>147,*
168,165-169,>148,*
169,165-169,>149,*
170,170-174,>150,*
171,170-174,>151,*
172,170-174,>152,*
173,170-174,>153,*
174,170-174,>154,*
175,175-179,>155,*
176,175-179,>156,*
177,175-179,>157,*
178,175-179,>158,*
179,175-179,>159,*
180,180,>160,*
